"total_females_in_the_household","females_younger_than_12_years_of_age","monthly_rent_payment","number_of_all_rooms_in_the_house","if_the_household_has_refrigerator","total_males_in_the_household","persons_younger_than_12_years_of_age","males_12_years_of_age_and_older","overcrowding_by_rooms","males_younger_than_12_years_of_age","females_12_years_of_age_and_older","overcrowding_by_bedrooms","id","has_bathroom_in_the_household","persons_12_years_of_age_and_older","target","allocated_cluster"
3,0,350000,6,1,4,0,4,0,0,3,0,"ID_c5631a80f",1,7,"four",4
4,2,0,4,0,3,3,2,0,1,2,1,"ID_e16c1cc95",1,4,"one",3
1,0,0,3,0,1,0,1,0,0,1,0,"ID_8e084c013",1,2,"four",5
1,0,0,4,1,1,0,1,0,0,1,0,"ID_ec085edd2",1,2,"four",2
1,0,250000,6,1,1,0,1,0,0,1,0,"ID_d0bbc7a70",1,2,"four",2
2,1,5e+05,5,1,1,1,1,0,0,1,0,"ID_5a8f7dfc0",1,2,"four",1
2,1,0,5,1,2,1,2,0,0,1,0,"ID_610287279",1,3,"four",8
2,0,0,4,1,1,0,1,0,0,2,0,"ID_626a7abc7",1,3,"four",1
3,2,0,3,1,2,3,1,0,1,1,0,"ID_b41d7ac73",1,2,"two",7
1,0,0,4,1,1,0,1,0,0,1,0,"ID_794a0ac85",1,2,"four",2
0,0,70000,1,1,1,0,1,0,0,0,0,"ID_65e4e4a59",1,1,"four",2
3,0,250000,4,1,1,0,1,0,0,3,0,"ID_ab7b346cb",1,4,"four",1
3,2,0,4,1,1,2,1,0,0,1,1,"ID_582baea95",1,2,"two",3
1,0,0,7,1,0,0,0,0,0,1,0,"ID_34570a74c",1,1,"four",2
2,0,0,5,1,1,0,1,0,0,2,0,"ID_5ea47d7d3",1,3,"one",1
0,0,0,3,1,1,0,1,0,0,0,0,"ID_2dc0a1daa",1,1,"three",2
1,0,0,5,1,0,0,0,0,0,1,0,"ID_54532ad3a",1,1,"two",2
0,0,0,6,1,2,0,2,0,0,0,0,"ID_333c6e6cf",1,2,"four",2
2,0,0,5,0,2,1,1,0,1,2,0,"ID_bc9ee683d",1,3,"one",5
1,0,0,5,1,1,0,1,0,0,1,0,"ID_7bd0cbcd5",1,2,"four",2
1,0,2e+05,3,1,2,0,2,0,0,1,0,"ID_efe0dafd1",1,3,"four",8
2,1,3e+05,6,1,2,2,1,0,1,1,0,"ID_18ab76ef8",1,2,"four",7
1,0,0,4,1,1,0,1,0,0,1,0,"ID_c59518c0c",1,2,"one",2
1,0,150000,4,1,3,1,2,0,1,1,0,"ID_2dee27fc9",1,3,"four",8
2,0,0,4,1,2,0,2,0,0,2,0,"ID_48bad74d9",1,4,"four",8
1,0,0,5,1,0,0,0,0,0,1,0,"ID_e6acdd324",1,1,"four",2
1,0,427905,6,1,2,1,1,0,1,1,0,"ID_a2f03bcdf",1,2,"four",2
2,1,4e+05,6,1,1,1,1,0,0,1,0,"ID_5d6cbe399",1,2,"four",1
0,0,0,3,1,1,0,1,0,0,0,0,"ID_79c161619",1,1,"two",2
1,0,0,6,1,1,0,1,0,0,1,0,"ID_0ab49d5df",1,2,"four",2
1,0,427905,7,1,1,0,1,0,0,1,0,"ID_9a8fad9ec",1,2,"four",2
3,0,0,6,1,2,0,2,0,0,3,0,"ID_a8b2a6e00",1,5,"four",4
2,1,0,3,1,1,1,1,0,0,1,0,"ID_a77bc61ae",1,2,"four",1
1,0,62539,3,1,2,1,1,0,1,1,0,"ID_4a977a29c",1,2,"two",2
1,0,40000,1,1,1,0,1,0,0,1,0,"ID_dafe65622",1,2,"four",2
0,0,205000,3,1,1,0,1,0,0,0,0,"ID_c7d7b6515",1,1,"four",2
4,2,0,2,1,3,5,0,1,3,2,1,"ID_3cc10dd42",1,2,"one",3
1,0,60000,5,1,0,0,0,0,0,1,0,"ID_6029fe986",1,1,"four",2
0,0,1e+05,3,1,1,0,1,0,0,0,0,"ID_e6a601b7e",1,1,"four",2
1,0,0,7,1,3,0,3,0,0,1,0,"ID_9daef0017",1,4,"four",8
1,0,0,4,1,0,0,0,0,0,1,0,"ID_7af4ead20",1,1,"three",2
1,0,0,6,1,0,0,0,0,0,1,0,"ID_65ae0bd1f",1,1,"one",2
3,1,0,6,1,2,2,1,0,1,2,0,"ID_a7df00e42",1,3,"one",7
2,0,0,4,1,2,0,2,0,0,2,0,"ID_321365599",1,4,"four",8
2,1,170000,4,1,2,1,2,0,0,1,0,"ID_eaaaaa4e1",1,3,"four",8
3,2,35000,5,1,1,2,1,0,0,1,0,"ID_43c12d9da",1,2,"one",7
1,0,0,5,1,1,0,1,0,0,1,0,"ID_c1ad3bc37",1,2,"four",2
1,0,0,4,1,1,0,1,0,0,1,0,"ID_402fe798e",1,2,"four",2
0,0,399378,6,0,1,0,1,0,0,0,0,"ID_de9e66e4f",1,1,"four",5
2,0,0,4,0,3,0,3,0,0,2,0,"ID_fade08814",1,5,"two",5
4,1,0,7,1,5,2,4,0,1,3,0,"ID_3794053f6",1,7,"two",4
2,0,0,7,1,1,0,1,0,0,2,0,"ID_a570e05b5",1,3,"four",1
2,0,0,4,0,2,0,2,0,0,2,0,"ID_c6c078470",1,4,"four",5
5,2,180000,7,1,2,2,2,0,0,3,0,"ID_6895c3ee3",1,5,"three",4
3,2,0,5,1,1,2,1,1,0,1,1,"ID_5e4965901",1,2,"two",3
1,0,0,3,1,2,1,1,0,1,1,0,"ID_9ba1661eb",1,2,"two",2
2,1,0,5,1,2,1,2,0,0,1,0,"ID_567aaefea",1,3,"four",8
2,1,120000,5,1,3,3,1,0,2,1,0,"ID_040d7833a",1,2,"three",7
2,0,115000,4,1,1,1,0,0,1,2,0,"ID_8db752a4c",1,2,"two",1
1,0,0,6,1,2,0,2,0,0,1,0,"ID_083c12587",1,3,"four",8
1,0,0,6,1,0,0,0,0,0,1,0,"ID_13eaccbc9",1,1,"four",2
1,0,0,5,1,3,0,3,0,0,1,0,"ID_80e0cd8ca",1,4,"four",8
1,0,0,7,1,4,0,4,0,0,1,0,"ID_937430522",1,5,"four",8
1,0,0,6,1,0,0,0,0,0,1,0,"ID_303108a1c",1,1,"two",2
1,0,0,4,1,2,0,2,0,0,1,0,"ID_9cfd23682",1,3,"four",8
1,0,75000,4,1,2,0,2,0,0,1,0,"ID_b97fc872e",1,3,"four",8
1,0,0,6,1,1,0,1,0,0,1,0,"ID_17f5b5dea",1,2,"four",2
2,1,0,5,1,1,1,1,0,0,1,0,"ID_ee12cdd75",1,2,"four",1
1,0,0,1,1,1,0,1,0,0,1,0,"ID_e6f9980ac",1,2,"three",2
2,1,283000,3,1,1,1,1,0,0,1,0,"ID_7235e5ede",1,2,"four",1
3,0,0,6,1,2,1,1,0,1,3,0,"ID_69fb38356",1,4,"two",4
0,0,50000,4,1,1,0,1,0,0,0,0,"ID_d10849b4d",1,1,"one",2
3,1,0,4,1,1,1,1,0,0,2,0,"ID_6a13e748d",1,3,"two",1
0,0,0,4,1,2,0,2,0,0,0,0,"ID_2e8c904a5",1,2,"four",2
1,0,0,4,1,1,0,1,0,0,1,0,"ID_d805ea76f",1,2,"four",2
4,0,0,8,1,5,1,4,0,1,4,0,"ID_ac4aafc29",1,8,"four",4
3,1,0,7,1,1,1,1,0,0,2,0,"ID_6772a5cc6",1,3,"one",1
1,0,0,7,1,1,0,1,0,0,1,0,"ID_50610b286",1,2,"four",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_3edaf1b14",1,2,"four",2
1,0,0,5,1,0,0,0,0,0,1,0,"ID_2bad6cc63",1,1,"three",2
2,0,0,6,1,2,0,2,0,0,2,0,"ID_82304360e",1,4,"four",8
1,0,0,5,1,2,0,2,0,0,1,0,"ID_510f310e9",1,3,"four",8
1,0,0,4,1,2,0,2,0,0,1,0,"ID_d217fe727",1,3,"four",8
2,0,30000,6,1,1,0,1,0,0,2,0,"ID_bcb8e2086",1,3,"four",1
1,0,0,4,1,1,0,1,0,0,1,0,"ID_44a2a340f",1,2,"four",2
2,1,432000,7,1,2,2,1,0,1,1,0,"ID_2ea511a5b",1,2,"four",7
2,1,0,4,1,1,1,1,0,0,1,0,"ID_f57a88311",1,2,"four",1
2,0,0,5,1,2,0,2,0,0,2,0,"ID_866e2267c",1,4,"four",8
4,1,130000,4,1,2,1,2,0,0,3,0,"ID_2baf1f7a7",1,5,"four",4
4,3,40000,4,1,1,3,1,0,0,1,0,"ID_24187810f",1,2,"two",7
3,1,1e+05,2,0,0,1,0,0,0,2,0,"ID_12dd387e0",1,2,"one",5
3,2,0,3,1,0,2,0,0,0,1,0,"ID_2253be13c",1,1,"one",7
2,1,0,3,1,1,1,1,0,0,1,0,"ID_c4dc25204",1,2,"three",1
2,1,0,5,1,2,2,1,0,1,1,0,"ID_9a5ad0665",1,2,"three",7
2,0,1e+05,3,1,0,0,0,0,0,2,0,"ID_d94071d7c",1,2,"four",1
1,0,0,3,1,2,1,1,0,1,1,0,"ID_a03e080d6",1,2,"two",2
1,0,0,4,1,2,0,2,0,0,1,0,"ID_01319aa12",1,3,"two",8
1,0,0,4,1,0,0,0,0,0,1,0,"ID_366359c1c",1,1,"four",2
1,0,80000,5,1,2,1,1,0,1,1,0,"ID_21f194ff8",1,2,"four",2
1,0,150000,7,1,0,0,0,0,0,1,0,"ID_eee954398",1,1,"four",2
2,1,1e+05,3,1,2,3,0,0,2,1,0,"ID_51bf10e35",1,1,"one",7
2,0,70000,5,1,2,0,2,0,0,2,0,"ID_b8aeaf96b",1,4,"four",8
4,2,185000,5,1,1,2,1,0,0,2,0,"ID_c7da4c086",1,3,"four",7
1,0,0,4,1,1,0,1,0,0,1,0,"ID_2b593ee84",1,2,"two",2
2,0,0,5,1,2,0,2,0,0,2,0,"ID_e477bac00",1,4,"four",8
1,0,0,4,1,2,1,1,0,1,1,0,"ID_b21cc20d5",1,2,"four",2
2,1,50000,6,1,1,1,1,0,0,1,0,"ID_a5d912a21",1,2,"four",1
1,0,0,6,1,1,0,1,0,0,1,0,"ID_e80fb652b",1,2,"four",2
2,0,350000,6,1,1,0,1,0,0,2,0,"ID_4f75bf2e4",1,3,"four",1
1,0,0,6,1,2,0,2,0,0,1,0,"ID_1da91cc76",1,3,"four",8
1,0,150000,3,1,0,0,0,0,0,1,0,"ID_f90fffb9e",1,1,"four",2
1,0,0,4,1,0,0,0,0,0,1,0,"ID_327987c93",1,1,"one",2
1,0,0,4,1,2,0,2,0,0,1,0,"ID_8db52cd5d",1,3,"one",8
2,1,0,4,1,2,2,1,0,1,1,0,"ID_6d140be29",1,2,"four",7
2,0,1e+05,4,1,2,0,2,0,0,2,0,"ID_5a19a740a",1,4,"two",8
1,0,0,7,1,3,0,3,0,0,1,0,"ID_9d2cd457d",1,4,"four",8
0,0,0,8,1,1,0,1,0,0,0,0,"ID_ba976a205",1,1,"four",2
1,0,0,4,1,0,0,0,0,0,1,0,"ID_bd339ab12",1,1,"three",2
2,0,250000,5,1,2,0,2,0,0,2,0,"ID_ece440962",1,4,"four",8
3,0,150000,4,1,1,0,1,0,0,3,0,"ID_1e2169ff2",1,4,"four",1
2,1,50000,5,0,1,1,1,0,0,1,0,"ID_35189728f",1,2,"three",5
0,0,0,3,1,1,0,1,0,0,0,0,"ID_694152ea7",1,1,"four",2
1,0,275000,3,1,1,1,0,0,1,1,0,"ID_a85afaff8",1,1,"four",2
2,0,0,5,1,1,0,1,0,0,2,0,"ID_dd1353b9f",1,3,"four",1
2,0,0,5,1,0,0,0,0,0,2,0,"ID_21344fbef",1,2,"three",1
2,0,0,4,0,0,0,0,0,0,2,0,"ID_d8bd28607",1,2,"two",5
2,1,150000,4,1,1,1,1,0,0,1,0,"ID_a407c5959",1,2,"four",1
2,1,0,5,1,1,1,1,0,0,1,0,"ID_a5cce44f8",1,2,"two",1
1,0,0,6,1,3,2,1,0,2,1,0,"ID_40fef853c",1,2,"three",7
2,1,0,2,1,1,2,0,0,1,1,0,"ID_8eda22d26",1,1,"two",7
1,0,180000,4,1,1,0,1,0,0,1,0,"ID_9e04d4fc7",1,2,"four",2
1,0,0,6,1,1,0,1,0,0,1,0,"ID_1382719c5",1,2,"four",2
1,0,0,5,1,0,0,0,0,0,1,0,"ID_70e7fc6d2",1,1,"four",2
2,0,0,4,1,0,0,0,0,0,2,0,"ID_5d8a1649a",1,2,"four",1
2,0,0,4,1,0,0,0,0,0,2,0,"ID_9c68fdb47",1,2,"four",1
2,0,0,4,1,2,1,1,0,1,2,0,"ID_9ba3ea3e9",1,3,"three",1
2,0,0,6,1,2,0,2,0,0,2,0,"ID_afa140594",1,4,"two",8
2,0,0,5,1,1,0,1,0,0,2,0,"ID_8b4e8ecd3",1,3,"four",1
3,2,0,4,1,0,2,0,0,0,1,0,"ID_9e6dbaf2b",1,1,"two",7
1,0,0,4,1,2,0,2,0,0,1,0,"ID_0ec0bdf91",1,3,"two",8
0,0,0,1,0,1,0,1,0,0,0,0,"ID_aa326a919",1,1,"two",5
2,1,0,4,1,4,2,3,0,1,1,0,"ID_0a9d14ed7",1,4,"four",7
0,0,20000,6,0,1,0,1,0,0,0,0,"ID_cee3b09b1",1,1,"four",5
2,0,0,5,1,2,0,2,0,0,2,0,"ID_db8409660",1,4,"four",8
1,0,0,6,1,3,0,3,0,0,1,0,"ID_114fbe5b3",1,4,"four",8
1,0,0,4,1,3,1,2,0,1,1,0,"ID_97396d72e",1,3,"two",8
1,0,0,5,1,4,0,4,0,0,1,0,"ID_3550f0a04",1,5,"three",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_6bb50a41b",1,2,"three",2
2,1,0,5,1,2,1,2,0,0,1,0,"ID_35246153b",1,3,"four",8
2,0,0,5,1,2,0,2,0,0,2,0,"ID_0af4ea930",1,4,"four",8
1,0,0,5,1,1,0,1,0,0,1,0,"ID_5e81508a5",1,2,"four",2
1,0,0,4,1,1,0,1,0,0,1,0,"ID_dcff962c0",1,2,"four",2
1,0,0,4,1,2,0,2,0,0,1,0,"ID_2b4e116cd",1,3,"four",8
2,1,0,5,1,1,1,1,0,0,1,0,"ID_7e3aa90fc",1,2,"four",1
1,0,0,4,1,1,1,0,0,1,1,0,"ID_4076e6892",1,1,"two",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_66f8f6c34",1,2,"one",2
1,0,0,6,1,1,0,1,0,0,1,0,"ID_8a2c7a1e7",1,2,"four",2
0,0,0,1,1,1,0,1,0,0,0,0,"ID_5609ac292",1,1,"four",2
3,1,0,5,1,1,1,1,0,0,2,0,"ID_fe2d2a495",1,3,"four",1
1,0,0,5,1,0,0,0,0,0,1,0,"ID_db1ed9c1c",1,1,"four",2
2,0,0,5,1,2,0,2,0,0,2,0,"ID_f59c82ad5",1,4,"four",8
1,0,150000,4,1,2,0,2,0,0,1,0,"ID_a8ab08091",1,3,"three",8
2,1,70000,5,1,1,1,1,0,0,1,0,"ID_88ab33cbc",1,2,"four",1
3,1,150000,4,1,3,3,1,0,2,2,0,"ID_6b39e374f",1,3,"four",7
3,1,0,6,1,0,1,0,0,0,2,0,"ID_0f0839b97",1,2,"four",1
0,0,0,4,0,2,0,2,0,0,0,0,"ID_240067824",1,2,"four",5
2,0,77000,6,1,2,0,2,0,0,2,0,"ID_e54818099",1,4,"four",8
3,1,0,5,1,5,3,3,0,2,2,0,"ID_610c53f34",1,5,"two",7
2,0,0,5,1,2,0,2,0,0,2,0,"ID_4bd7f33db",1,4,"four",8
1,0,0,5,1,2,0,2,0,0,1,0,"ID_cf43bccf7",1,3,"two",8
6,1,0,8,1,4,1,4,0,0,5,0,"ID_81ea43355",1,9,"four",4
1,0,0,5,1,3,0,3,0,0,1,0,"ID_0816da28f",1,4,"two",8
2,1,0,5,1,2,1,2,0,0,1,0,"ID_d4b0e2a0d",1,3,"two",8
2,0,0,5,1,2,0,2,0,0,2,0,"ID_e8b9d1a08",1,4,"four",8
1,0,0,6,1,3,0,3,0,0,1,0,"ID_8b24a6c34",1,4,"four",8
3,0,0,7,1,3,1,2,0,1,3,0,"ID_c746dc06d",1,5,"two",4
6,0,0,7,1,3,3,0,0,3,6,0,"ID_86c800370",1,6,"four",4
4,1,225000,3,1,1,1,1,0,0,3,0,"ID_972d49095",1,4,"two",4
1,0,0,3,1,0,0,0,0,0,1,0,"ID_aa062266d",1,1,"three",2
3,2,0,5,1,1,2,1,0,0,1,0,"ID_a636087f8",1,2,"four",7
2,0,0,4,1,2,1,1,0,1,2,0,"ID_06990a106",1,3,"four",1
2,1,0,9,1,3,1,3,0,0,1,0,"ID_afc0948ae",1,4,"four",8
4,1,0,5,1,0,1,0,0,0,3,0,"ID_978611f7a",1,3,"three",1
1,0,0,4,1,2,1,1,0,1,1,0,"ID_8afc30235",1,2,"four",2
0,0,0,5,1,1,0,1,0,0,0,0,"ID_f6be04ee7",1,1,"four",2
1,0,0,6,1,3,0,3,0,0,1,0,"ID_f8003f774",1,4,"four",8
1,0,250000,6,1,3,0,3,0,0,1,0,"ID_19c15b64c",1,4,"four",8
0,0,0,5,1,1,0,1,0,0,0,0,"ID_b186ecc78",1,1,"four",2
4,2,0,5,1,1,3,0,0,1,2,0,"ID_8e04c5b83",1,2,"four",7
1,0,90000,4,1,2,1,1,0,1,1,0,"ID_7822910f0",1,2,"three",2
2,0,0,6,1,3,1,2,0,1,2,0,"ID_0395ae256",1,4,"four",8
2,1,0,6,1,1,1,1,0,0,1,0,"ID_76d4559f4",1,2,"four",1
2,0,0,4,1,0,0,0,0,0,2,0,"ID_2d58f0106",1,2,"four",1
2,1,0,4,1,2,1,2,0,0,1,0,"ID_82bea53de",1,3,"four",8
3,0,0,5,1,2,0,2,0,0,3,0,"ID_8651b94b0",1,5,"four",4
1,0,0,5,1,2,1,1,0,1,1,0,"ID_d86d88f46",1,2,"four",2
2,1,0,6,1,1,1,1,0,0,1,0,"ID_3d5e6fa38",1,2,"four",1
0,0,0,6,1,2,1,1,0,1,0,0,"ID_7877c6da0",1,1,"four",2
1,0,0,6,1,1,1,0,0,1,1,0,"ID_7744b06df",1,1,"one",2
2,1,30000,4,1,1,2,0,0,1,1,0,"ID_510450d2b",1,1,"four",7
2,1,0,6,1,2,1,2,0,0,1,0,"ID_389ed7347",1,3,"four",8
2,1,90000,3,1,1,1,1,0,0,1,0,"ID_4a8d0175e",1,2,"four",1
1,0,1e+05,3,1,2,1,1,0,1,1,0,"ID_583207ac1",1,2,"four",2
2,1,0,4,1,1,1,1,0,0,1,0,"ID_a28c3a2fb",1,2,"four",1
3,0,0,4,1,2,0,2,0,0,3,0,"ID_f186062e3",1,5,"four",4
2,0,0,5,1,1,0,1,0,0,2,0,"ID_df0ab8cde",1,3,"four",1
4,2,0,5,1,1,2,1,0,0,2,0,"ID_8d027a1b2",1,3,"four",7
1,0,0,5,1,2,0,2,0,0,1,0,"ID_77fb6e0af",1,3,"four",8
1,0,0,5,1,2,0,2,0,0,1,0,"ID_6c8def5da",1,3,"four",8
4,1,350000,6,1,1,1,1,0,0,3,0,"ID_fbd46a88b",1,4,"four",4
1,0,0,4,1,2,1,1,0,1,1,0,"ID_f33724ddb",1,2,"four",2
3,0,0,3,1,1,0,1,0,0,3,0,"ID_91c5d1583",1,4,"four",1
6,1,0,7,1,6,1,6,0,0,5,0,"ID_7097e8666",1,11,"three",4
1,0,0,4,1,1,0,1,0,0,1,0,"ID_54d785a42",1,2,"four",2
2,0,0,7,1,1,0,1,0,0,2,0,"ID_1033ebe54",1,3,"four",1
4,2,0,7,1,2,2,2,0,0,2,0,"ID_1650de8b0",1,4,"three",4
1,0,1e+05,2,1,0,0,0,0,0,1,0,"ID_2b15772d0",1,1,"two",2
3,0,0,5,1,1,0,1,0,0,3,0,"ID_8996c74f7",1,4,"three",1
1,0,0,4,1,1,0,1,0,0,1,0,"ID_bf14450ea",1,2,"four",2
6,2,0,10,1,5,4,3,0,2,4,0,"ID_72fdb0c64",1,7,"four",4
1,0,0,5,1,4,1,3,0,1,1,0,"ID_4f2ec2b64",1,4,"four",8
1,0,0,6,1,3,2,1,0,2,1,0,"ID_bb216fb96",1,2,"one",7
4,2,65000,3,1,0,2,0,0,0,2,1,"ID_c6d0d8333",1,2,"two",3
1,0,0,4,1,3,1,2,0,1,1,0,"ID_79e84408d",1,3,"one",8
2,0,0,6,1,0,0,0,0,0,2,0,"ID_b665ecd5a",1,2,"four",1
2,0,0,8,1,2,0,2,0,0,2,0,"ID_0faefcf6b",1,4,"four",8
1,0,0,4,1,0,0,0,0,0,1,0,"ID_b27eecf0c",1,1,"four",2
2,0,120000,4,1,2,1,1,0,1,2,0,"ID_cd3a9d4af",1,3,"two",1
1,0,0,5,1,2,0,2,0,0,1,0,"ID_8741c0aaa",1,3,"four",8
1,0,0,3,1,0,0,0,0,0,1,0,"ID_6052062cc",1,1,"four",2
3,2,0,3,1,1,2,1,0,0,1,0,"ID_8dc24984d",1,2,"two",7
1,0,132000,5,1,3,2,1,0,2,1,0,"ID_0e5607f83",1,2,"four",7
1,0,0,4,1,1,0,1,0,0,1,0,"ID_a56268921",1,2,"four",2
1,0,40000,5,1,2,0,2,0,0,1,0,"ID_eee33e5ef",1,3,"two",8
1,0,1e+05,4,1,2,1,1,0,1,1,0,"ID_b7934afe1",1,2,"four",2
2,1,0,3,1,1,1,1,0,0,1,0,"ID_98542369b",1,2,"two",1
1,0,0,4,1,3,2,1,0,2,1,0,"ID_80470d8f8",1,2,"four",7
1,0,0,5,1,2,1,1,0,1,1,0,"ID_0b295e274",1,2,"four",2
4,1,2e+05,5,1,2,1,2,0,0,3,0,"ID_b9e6855a3",1,5,"four",4
1,0,0,4,1,2,0,2,0,0,1,0,"ID_da08f811e",1,3,"two",8
1,0,0,3,1,1,0,1,0,0,1,0,"ID_694be3379",1,2,"four",2
5,2,0,6,1,0,2,0,0,0,3,0,"ID_96588b819",1,3,"three",4
1,0,0,5,1,2,0,2,0,0,1,0,"ID_03c78313c",1,3,"four",8
2,1,110000,4,1,4,1,4,0,0,1,0,"ID_295ef88fa",1,5,"three",8
3,1,0,5,1,2,2,1,0,1,2,0,"ID_9270a763a",1,3,"one",7
1,0,0,5,1,0,0,0,0,0,1,0,"ID_e090d97a9",1,1,"four",2
1,0,50000,4,0,1,1,0,0,1,1,0,"ID_870670c71",1,1,"one",5
2,0,0,5,1,3,0,3,0,0,2,0,"ID_389370c9e",1,5,"four",8
1,0,0,5,1,3,0,3,0,0,1,0,"ID_e07f92a41",1,4,"four",8
2,1,0,5,1,3,2,2,0,1,1,0,"ID_248986a1f",1,3,"four",7
1,0,0,5,1,4,0,4,0,0,1,0,"ID_c03519464",1,5,"four",8
0,0,0,4,1,1,0,1,0,0,0,0,"ID_9346d89ab",1,1,"four",2
1,0,1e+05,5,1,2,0,2,0,0,1,0,"ID_c31143453",1,3,"four",8
1,0,0,5,1,1,0,1,0,0,1,0,"ID_7acb6f002",1,2,"three",2
1,0,0,7,1,2,0,2,0,0,1,0,"ID_61ef39ec5",1,3,"four",8
1,0,0,4,1,2,0,2,0,0,1,0,"ID_c41b71044",1,3,"one",8
2,0,0,7,1,1,0,1,0,0,2,0,"ID_d82b1a426",1,3,"four",1
3,1,130000,5,1,2,1,2,0,0,2,0,"ID_9c2747777",1,4,"four",4
3,2,135000,2,1,1,2,1,0,0,1,1,"ID_d0daa1436",1,2,"four",3
1,0,0,4,1,2,1,1,0,1,1,0,"ID_9e20c0e6f",1,2,"four",2
2,0,180000,5,1,2,0,2,0,0,2,0,"ID_5605a6cea",1,4,"four",8
2,0,0,4,1,0,0,0,0,0,2,0,"ID_717bcdcfb",1,2,"four",1
0,0,0,4,1,2,0,2,0,0,0,0,"ID_37c5fe508",1,2,"three",2
1,0,2e+05,5,1,1,0,1,0,0,1,0,"ID_729f1ecf3",1,2,"four",2
2,0,0,5,1,0,0,0,0,0,2,0,"ID_1c894d79c",1,2,"four",1
2,0,0,4,1,0,0,0,0,0,2,0,"ID_24dc5b195",1,2,"two",1
1,0,0,5,1,2,0,2,0,0,1,0,"ID_f3ce33a91",1,3,"four",8
3,0,350000,7,1,3,0,3,0,0,3,0,"ID_613a1a85a",1,6,"four",4
3,2,350000,6,1,2,3,1,0,1,1,0,"ID_717a40e7b",1,2,"four",7
2,0,0,5,1,5,1,4,0,1,2,0,"ID_8253641e6",1,6,"three",8
1,0,0,6,1,3,0,3,0,0,1,0,"ID_b27d36d64",1,4,"four",8
1,0,70000,4,1,1,0,1,0,0,1,0,"ID_0b18b5ff4",1,2,"four",2
1,0,0,4,1,1,0,1,0,0,1,0,"ID_1eb95427d",1,2,"four",2
2,0,0,6,1,1,0,1,0,0,2,0,"ID_2421ac8d9",1,3,"four",1
1,0,110000,6,0,1,0,1,0,0,1,0,"ID_eb707888e",1,2,"four",5
2,0,150000,3,1,1,0,1,0,0,2,0,"ID_f91d53796",1,3,"four",1
2,0,0,3,1,1,0,1,0,0,2,0,"ID_85a4b27d0",1,3,"four",1
1,0,0,6,1,0,0,0,0,0,1,0,"ID_20d9c1b2d",1,1,"four",2
1,0,0,7,1,2,0,2,0,0,1,0,"ID_6a65042a2",1,3,"four",8
1,0,5e+05,4,1,1,0,1,0,0,1,0,"ID_371f39941",1,2,"four",2
2,0,0,4,1,1,0,1,0,0,2,0,"ID_c0bf9b76b",1,3,"three",1
2,1,357000,5,1,1,1,1,0,0,1,0,"ID_b6a37cb7d",1,2,"four",1
1,0,0,6,1,2,0,2,0,0,1,0,"ID_938e7c372",1,3,"four",8
0,0,0,6,1,1,0,1,0,0,0,0,"ID_5ffc1d324",1,1,"four",2
3,0,0,8,1,1,1,0,0,1,3,0,"ID_9a52fe8b7",1,3,"four",1
3,1,0,3,1,2,2,1,0,1,2,0,"ID_0d42b9cc3",1,3,"three",7
3,0,0,6,1,2,0,2,0,0,3,0,"ID_e3b633667",1,5,"three",4
2,1,40000,4,1,2,2,1,0,1,1,0,"ID_e4d9ce494",1,2,"four",7
2,1,0,3,1,2,2,1,0,1,1,0,"ID_cb17f01fd",1,2,"three",7
1,0,0,3,1,0,0,0,0,0,1,0,"ID_b86014913",1,1,"three",2
1,0,0,4,1,1,0,1,0,0,1,0,"ID_09a4fc6ad",1,2,"four",2
2,0,0,6,1,3,0,3,0,0,2,0,"ID_df7f1c1c3",1,5,"four",8
3,2,0,3,1,2,2,2,0,0,1,0,"ID_828f946c5",1,3,"two",7
1,0,0,9,1,5,0,5,0,0,1,0,"ID_91908cad4",1,6,"four",8
2,0,0,9,1,2,0,2,0,0,2,0,"ID_fcf49089e",1,4,"four",8
4,1,0,9,1,7,1,7,0,0,3,0,"ID_a26fe3496",1,10,"three",4
1,0,150000,3,1,2,1,1,0,1,1,0,"ID_740e219f2",1,2,"four",2
2,1,125000,4,1,2,1,2,0,0,1,0,"ID_650cb5c6d",1,3,"four",8
1,0,0,4,0,3,1,2,0,1,1,0,"ID_981dc3ec3",1,3,"four",5
2,1,180000,4,1,2,2,1,0,1,1,0,"ID_85d5cd65c",1,2,"four",7
1,0,0,5,1,3,1,2,0,1,1,0,"ID_4955f5a8a",1,3,"four",8
0,0,0,2,1,1,0,1,0,0,0,0,"ID_c51461817",1,1,"four",2
1,0,0,5,1,0,0,0,0,0,1,0,"ID_b8ddff4ea",1,1,"four",2
0,0,342324,4,1,1,0,1,0,0,0,0,"ID_186d96d2c",1,1,"four",2
1,0,250000,5,1,3,0,3,0,0,1,0,"ID_fd5eaf510",1,4,"four",8
3,1,0,6,1,3,1,3,0,0,2,0,"ID_6eacbdac5",1,5,"four",4
1,0,0,4,1,1,0,1,0,0,1,0,"ID_a3e8515a9",1,2,"two",2
2,1,51000,5,1,1,1,1,0,0,1,0,"ID_5adcbb247",1,2,"one",1
3,2,3e+05,6,1,2,2,2,0,0,1,0,"ID_a34dfb042",1,3,"four",7
1,0,0,7,1,1,0,1,0,0,1,0,"ID_6ca5b935f",1,2,"four",2
